,date,steps,distance,latitude,longitude
187,20161207,2816,1934.0,42.08772052775193,-71.788898513084
188,20161208,2095,1436.0,42.08772052775193,-71.788898513084
189,20161209,2762,1769.0,42.08772052775193,-71.788898513084
190,20161210,2462,1465.0,42.08772052775193,-71.788898513084
191,20161211,3896,28063.0,42.08772052775193,-71.788898513084
192,20161212,3580,3048.0,33.95853237731105,-118.4369816413345
193,20161213,3816,3000.0,33.95853237731105,-118.4369816413345
194,20161214,2868,2300.0,33.95853237731105,-118.4369816413345
195,20161215,4317,4038.0,33.95853237731105,-118.4369816413345
196,20161216,2780,2369.0,33.95853237731105,-118.4369816413345
197,20161217,3187,3205.0,33.95853237731105,-118.4369816413345
198,20161218,3045,2193.0,33.95853237731105,-118.4369816413345
199,20161219,5137,3427.0,33.95853237731105,-118.4369816413345
200,20161220,5078,8926.0,33.95853237731105,-118.4369816413345
201,20161221,2896,1907.0,33.95853237731105,-118.4369816413345
202,20161222,3114,3200.0,33.95853237731105,-118.4369816413345
203,20161223,3048,2101.0,33.38863,-111.90983
204,20161224,840,604.0,33.38863,-111.90983
205,20161225,1644,2340.0,33.38863,-111.90983
206,20161226,3212,2464.0,33.38863,-111.90983
207,20161227,3109,1983.0,33.95853237731105,-118.4369816413345
208,20161228,3824,3112.0,33.95853237731105,-118.4369816413345
209,20161229,1423,1162.0,33.95853237731105,-118.4369816413345
210,20161230,3233,2794.0,33.95853237731105,-118.4369816413345
211,20161231,405,307.0,33.95853237731105,-118.4369816413345
212,20170101,1560,1844.0,33.95853237731105,-118.4369816413345
213,20170102,4554,3316.0,33.95853237731105,-118.4369816413345
214,20170103,2174,2185.0,33.95853237731105,-118.4369816413345
215,20170104,4391,3383.0,33.95853237731105,-118.4369816413345
216,20170105,3144,2900.0,33.95853237731105,-118.4369816413345
217,20170106,3518,3918.0,33.95853237731105,-118.4369816413345
218,20170107,4078,2685.0,33.95853237731105,-118.4369816413345
219,20170108,2846,2401.0,33.95853237731105,-118.4369816413345
220,20170109,4186,3081.0,33.95853237731105,-118.4369816413345
221,20170110,5603,4287.0,33.95853237731105,-118.4369816413345
222,20170111,7225,4786.0,33.95853237731105,-118.4369816413345
223,20170112,5071,3777.0,33.95853237731105,-118.4369816413345
224,20170113,3301,2828.0,33.95853237731105,-118.4369816413345
225,20170114,8373,6781.0,33.95853237731105,-118.4369816413345
226,20170115,11787,10443.0,33.95853237731105,-118.4369816413345
227,20170116,8139,7790.0,33.95853237731105,-118.4369816413345
228,20170117,2561,2313.0,33.95853237731105,-118.4369816413345
229,20170118,1942,1472.0,33.95853237731105,-118.4369816413345
230,20170119,5887,3969.0,33.95853237731105,-118.4369816413345
231,20170120,2309,1633.0,33.95853237731105,-118.4369816413345
232,20170121,9856,7321.0,33.95853237731105,-118.4369816413345
233,20170122,4663,3689.0,33.95853237731105,-118.4369816413345
234,20170123,5221,3920.0,33.95853237731105,-118.4369816413345
235,20170124,9636,6668.0,33.95853237731105,-118.4369816413345
